name,make,model,city,year,fueltype,kilometerdriven,ownernumber,transmission,bodytype,storename,isc24assured,registrationcity,registrationstate,benefits,discountprice,price,url,createdDate
Hyundai Elite i20,Hyundai,Elite I20,Kochi,2017,Petrol,35939,2,Manual,Hatchback,Kochi-Pns,FALSE,Kozhikode,Kerala,13898,47399,607000,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-kochi-1301258066,24-03-2022
Maruti Alto 800,Maruti,Alto 800,Mumbai,2016,Petrol + Cng,6180,1,Manual,Hatchback,Hi-West Mumbai,FALSE,Mumbai,Maharashtra,12542,2099,326000,https://www.cars24.com/buy-used-maruti-alto-800-2016-cars-mumbai-10376393749,09-11-2022
Maruti Dzire,Maruti,Dzire,Lucknow,2019,Petrol + Cng,46808,1,Manual,Sedan,Vibhuti Khand - Gomti Nagar,FALSE,Lucknow,Uttar Pradesh,13898,26000,640000,https://www.cars24.com/buy-used-maruti-dzire-2019-cars-lucknow-13269799739,30-09-2022
KIA SELTOS,Kia,Seltos,Bangalore,2020,Diesel,26045,1,Manual,SUV,Bengaluru-Pns,FALSE,Bengaluru,Karnataka,9688,143700,1354000,https://www.cars24.com/buy-used-kia-seltos-2020-cars-bangalore-10223291755,04-07-2022
Maruti Ertiga,Maruti,Ertiga,Kolkata,2017,Petrol,53056,1,Manual,SUV,Hi-Kolkata,FALSE,Barrackpore,West Bengal,13898,22800,676000,https://www.cars24.com/buy-used-maruti-ertiga-2017-cars-kolkata-11929876798,28-10-2022
Ford Ecosport,Ford,Ecosport,Pune,2014,Petrol,85905,1,Manual,SUV,Pune-Pns,FALSE,Pune,Maharashtra,13898,13100,468000,https://www.cars24.com/buy-used-ford-ecosport-2014-cars-pune-10626491709,09-11-2022
Toyota Innova,Toyota,Innova,Mumbai,2012,Diesel,353288,1,Manual,SUV,Kandivali West - Dahanukar,TRUE,Mumbai,Maharashtra,19407,95600,615000,https://www.cars24.com/buy-used-toyota-innova-2012-cars-mumbai-1036866227,24-03-2021
Toyota Innova Crysta,Toyota,Innova Crysta,Pune,2017,Petrol,91964,2,Automatic,SUV,Hi-Pune,FALSE,Pune,Maharashtra,9688,121500,1614000,https://www.cars24.com/buy-used-toyota-innova-crysta-2017-cars-pune-10692178719,15-11-2022
Tata Tiago,Tata,Tiago,Indore,2017,Petrol,47440,2,Manual,Hatchback,Bhopal-Pns,FALSE,Bhopal,Madhya Pradesh,9688,-7000,452000,https://www.cars24.com/buy-used-tata-tiago-2017-cars-indore-14649291765,02-10-2022
Volkswagen Polo,Volkswagen,Polo,Kolkata,2015,Diesel,77595,1,Manual,Hatchback,Hi-Kolkata,FALSE,Kolkata,West Bengal,13898,-24400,368600,https://www.cars24.com/buy-used-volkswagen-polo-2015-cars-kolkata-11920798764,09-11-2022
Toyota Etios Liva,Toyota,Etios Liva,Kochi,2018,Petrol,49804,1,Manual,Hatchback,Kochi-Pns,FALSE,Tripunithura,Kerala,13898,45950,611000,https://www.cars24.com/buy-used-toyota-etios-liva-2018-cars-kochi-1302283661,08-05-2022
Volkswagen Ameo,Volkswagen,Ameo,Faridabad,2018,Petrol,62492,2,Manual,Sedan,New Delhi-Pns,FALSE,New Delhi,Delhi,13898,-24101,428000,https://www.cars24.com/buy-used-volkswagen-ameo-2018-cars-faridabad-10020779791,18-10-2022
Ford Ecosport,Ford,Ecosport,New Delhi,2014,Petrol,53429,1,Manual,SUV,Hi-South Ex,FALSE,New Delhi,Delhi,13898,0,510899,https://www.cars24.com/buy-used-ford-ecosport-2014-cars-new-delhi-10014478792,07-12-2022
Nissan Terrano,Nissan,Terrano,Bangalore,2014,Petrol,76646,2,Manual,SUV,Hi-East 1 Bengaluru,FALSE,Bengaluru,Karnataka,9688,6800,544899,https://www.cars24.com/buy-used-nissan-terrano-2014-cars-bangalore-10210971772,07-11-2022
Maruti Swift,Maruti,Swift,New Delhi,2016,Petrol,24287,1,Manual,Hatchback,Hi-Uttam Nagar Delhi,FALSE,New Delhi,Delhi,9688,5000,484000,https://www.cars24.com/buy-used-maruti-swift-2016-cars-new-delhi-10091273755,08-12-2022
Skoda Rapid,Skoda,Rapid,Mumbai,2012,Petrol,62923,1,Manual,Sedan,Hi-Andheri East,FALSE,Thane,Maharashtra,12188,-2501,238000,https://www.cars24.com/buy-used-skoda-rapid-2012-cars-mumbai-10397896769,08-12-2022
Volkswagen Polo,Volkswagen,Polo,Hyderabad,2019,Petrol,59938,1,Manual,Hatchback,Hyderabad-Pns,FALSE,Hyderabad,Telangana,12542,21600,559200,https://www.cars24.com/buy-used-volkswagen-polo-2019-cars-hyderabad-10492199737,11-09-2022
Maruti Celerio,Maruti,Celerio,New Delhi,2021,Petrol,11828,1,Manual,Hatchback,East-Of-Kailash,FALSE,New Delhi,Delhi,12188,6899,492000,https://www.cars24.com/buy-used-maruti-celerio-2021-cars-new-delhi-10045396762,29-10-2022
Maruti Swift,Maruti,Swift,Nagpur,2014,Petrol,37197,2,Manual,Hatchback,Hi-Thane West - Manpada,FALSE,Thane,Maharashtra,9688,-8000,377999,https://www.cars24.com/buy-used-maruti-swift-2014-cars-nagpur-10392473792,23-11-2022
Hyundai Santro Xing,Hyundai,Santro Xing,New Delhi,2013,Petrol,49959,1,Manual,Hatchback,New Delhi-Pns,FALSE,Noida,Uttar Pradesh,13898,0,242399,https://www.cars24.com/buy-used-hyundai-santro-xing-2013-cars-new-delhi-10057376750,07-12-2022
Renault Kwid,Renault,Kwid,New Delhi,2020,Petrol,43365,1,Manual,Hatchback,New Delhi-Pns,FALSE,Noida,Uttar Pradesh,12542,0,386000,https://www.cars24.com/buy-used-renault-kwid-2020-cars-new-delhi-10007471750,09-12-2022
Maruti Alto K10,Maruti,Alto K10,Chennai,2010,Petrol,77123,1,Manual,Hatchback,Hi-Chennai,FALSE,Chennai,Tamil Nadu,9688,0,213499,https://www.cars24.com/buy-used-maruti-alto-k10-2010-cars-chennai-11320972778,07-12-2022
Volkswagen Ameo,Volkswagen,Ameo,Pune,2017,Petrol,50076,1,Manual,Sedan,Hi-Pune,FALSE,Pune,Maharashtra,13898,-10700,500000,https://www.cars24.com/buy-used-volkswagen-ameo-2017-cars-pune-10661879777,09-11-2022
Maruti New  Wagon-R,Maruti,New  Wagon-R,New Delhi,2021,Petrol + Cng,31023,1,Manual,Hatchback,Hi-Faridabad,FALSE,Faridabad,Haryana,9688,-19601,627000,https://www.cars24.com/buy-used-maruti-new-wagon-r-2021-cars-new-delhi-11074475778,16-11-2022
Maruti Celerio,Maruti,Celerio,Faridabad,2017,Petrol,26125,1,Manual,Hatchback,New Delhi-Pns,FALSE,Gurgaon,Haryana,12542,36099,396000,https://www.cars24.com/buy-used-maruti-celerio-2017-cars-faridabad-10062999789,06-08-2022
Maruti Ertiga,Maruti,Ertiga,Hyderabad,2019,Petrol,78855,2,Automatic,SUV,Hi-West 2 Hyd,FALSE,Hyderabad,Telangana,12188,-101,870000,https://www.cars24.com/buy-used-maruti-ertiga-2019-cars-hyderabad-10427673777,12-11-2022
Jeep Compass,Jeep,Compass,New Delhi,2018,Petrol,45323,1,Automatic,Luxury SUV,Hi-North West,FALSE,Delhi,Delhi,13898,15200,1267000,https://www.cars24.com/buy-used-jeep-compass-2018-cars-new-delhi-10000591762,02-12-2022
Hyundai VENUE,Hyundai,Venue,Sonipat,2022,Petrol,6905,1,Manual,SUV,Hi-Sonipat,FALSE,Sonipat,Haryana,12188,5000,918000,https://www.cars24.com/buy-used-hyundai-venue-2022-cars-sonipat-11582871750,08-12-2022
Maruti New  Wagon-R,Maruti,New  Wagon-R,Gurgaon,2021,Petrol + Cng,25028,1,Manual,Hatchback,Hi-Gurgaon New,FALSE,Gurgaon,Haryana,9688,5000,654000,https://www.cars24.com/buy-used-maruti-new-wagon-r-2021-cars-gurgaon-10132979750,09-12-2022
Tata Tiago,Tata,Tiago,Surat,2016,Petrol,58908,1,Manual,Hatchback,Surat-Pns,FALSE,Surat,Gujarat,13898,-21900,360000,https://www.cars24.com/buy-used-tata-tiago-2016-cars-surat-13579570776,03-12-2022
Renault Kwid,Renault,Kwid,Kochi,2019,Petrol,78870,1,Manual,Hatchback,Hi-Kochi South 2,FALSE,Muvattupuzha,Kerala,12542,-5200,338000,https://www.cars24.com/buy-used-renault-kwid-2019-cars-kochi-13027172778,22-10-2022
Hyundai i10,Hyundai,I10,Rajkot,2011,Petrol,63818,1,Manual,Hatchback,Hi-West-Amd,FALSE,Junagadh,Gujarat,13898,7000,269000,https://www.cars24.com/buy-used-hyundai-i10-2011-cars-rajkot-11400076797,20-11-2022
Hyundai Creta,Hyundai,Creta,New Delhi,2018,Diesel,71568,1,Manual,SUV,New Delhi-Pns,FALSE,Ghaziabad,Uttar Pradesh,19407,5000,1345000,https://www.cars24.com/buy-used-hyundai-creta-2018-cars-new-delhi-10059171783,08-12-2022
Tata NEXON,Tata,Nexon,New Delhi,2021,Petrol,17141,1,,,Hi-Uttam Nagar Delhi,FALSE,Delhi,Delhi,12188,0,1048000,https://www.cars24.com/buy-used-tata-nexon-2021-cars-new-delhi-10014670713,09-12-2022
